Temperature (C),HRR (W/g),HRR correction,R1,HRR (W/g),HRR correction,R2,HRR (W/g),HRR correction,R3
492.00,-0.36,-2.14,1.78,7.54,5.22,2.32,4.97,1.50,3.46
493.00,-0.57,-2.16,1.59,7.38,5.22,2.16,4.80,1.50,3.30
494.00,-0.85,-2.18,1.33,7.69,5.22,2.47,4.76,1.49,3.27
495.00,-0.63,-2.20,1.57,7.52,5.22,2.30,4.42,1.48,2.94
496.00,-0.64,-2.23,1.59,7.12,5.22,1.90,4.25,1.47,2.78
497.00,-0.74,-2.25,1.51,6.96,5.22,1.74,4.27,1.47,2.80
498.00,-1.00,-2.27,1.27,7.21,5.22,1.98,4.30,1.46,2.84
499.00,-1.10,-2.29,1.19,7.30,5.22,2.08,4.22,1.45,2.76
500.00,-0.83,-2.31,1.48,7.08,5.22,1.85,4.13,1.45,2.68
501.00,-1.38,-2.33,0.95,7.20,5.22,1.98,4.43,1.44,2.99
502.00,-1.29,-2.36,1.07,7.07,5.23,1.84,4.20,1.43,2.77
503.00,-1.58,-2.38,0.79,7.06,5.23,1.84,4.03,1.42,2.61
504.00,-1.44,-2.40,0.95,6.96,5.23,1.74,4.10,1.42,2.69
505.00,-1.38,-2.42,1.04,7.39,5.23,2.16,4.09,1.41,2.68
506.00,-1.65,-2.44,0.79,7.07,5.23,1.84,4.12,1.40,2.72
507.00,-1.37,-2.46,1.09,7.01,5.23,1.78,3.88,1.40,2.48
508.00,-1.45,-2.49,1.04,7.16,5.23,1.93,3.89,1.39,2.50
509.00,-1.24,-2.51,1.27,7.07,5.23,1.84,3.79,1.38,2.41
510.00,-1.72,-2.53,0.81,6.88,5.23,1.65,3.58,1.37,2.20
511.00,-1.25,-2.55,1.30,6.84,5.23,1.61,4.00,1.37,2.63
512.00,-1.31,-2.57,1.26,6.92,5.23,1.68,3.59,1.36,2.23
513.00,-1.59,-2.59,1.00,6.95,5.23,1.71,3.60,1.35,2.25
514.00,-1.53,-2.61,1.09,6.80,5.23,1.56,3.46,1.35,2.11
515.00,-1.72,-2.64,0.91,6.86,5.24,1.63,3.72,1.34,2.38
516.00,-2.05,-2.66,0.61,6.89,5.24,1.66,3.75,1.33,2.42
517.00,-1.80,-2.68,0.88,6.93,5.24,1.69,3.58,1.32,2.26
518.00,-1.80,-2.70,0.90,6.74,5.24,1.50,3.61,1.32,2.29
519.00,-1.67,-2.72,1.05,6.75,5.24,1.52,3.61,1.31,2.30
520.00,-1.54,-2.74,1.21,6.68,5.24,1.44,3.38,1.30,2.08
521.00,-1.52,-2.77,1.25,6.65,5.24,1.41,3.48,1.29,2.19
522.00,-1.81,-2.79,0.98,6.45,5.24,1.21,3.51,1.29,2.23
523.00,-2.01,-2.81,0.80,6.32,5.24,1.08,3.50,1.28,2.22
524.00,-2.46,-2.83,0.37,6.40,5.24,1.15,3.55,1.27,2.27
525.00,-2.10,-2.85,0.75,6.21,5.24,0.97,3.23,1.27,1.96
526.00,-2.19,-2.87,0.68,6.31,5.24,1.07,3.26,1.26,2.00
527.00,-1.79,-2.90,1.11,6.55,5.25,1.31,3.34,1.25,2.08
528.00,-1.95,-2.92,0.96,6.36,5.25,1.12,3.27,1.24,2.02
529.00,-1.85,-2.94,1.09,6.73,5.25,1.49,3.51,1.24,2.27
530.00,-2.34,-2.96,0.62,6.65,5.25,1.40,3.14,1.23,1.91
531.00,-2.31,-2.98,0.67,6.27,5.25,1.02,3.08,1.22,1.86
532.00,-2.22,-3.00,0.78,6.69,5.25,1.44,3.28,1.22,2.06
533.00,-2.27,-3.03,0.75,6.51,5.25,1.26,3.00,1.21,1.80
534.00,-2.54,-3.05,0.51,6.39,5.25,1.13,2.88,1.20,1.68
535.00,-2.57,-3.07,0.50,6.45,5.25,1.19,2.93,1.19,1.74
536.00,-2.43,-3.09,0.66,6.54,5.25,1.29,2.85,1.19,1.67
537.00,-2.35,-3.11,0.77,6.09,5.25,0.83,2.94,1.18,1.76
538.00,-2.22,-3.13,0.91,6.33,5.25,1.07,2.84,1.17,1.66
539.00,-2.46,-3.16,0.70,6.48,5.25,1.23,2.97,1.17,1.81
540.00,-2.60,-3.18,0.58,6.51,5.26,1.25,2.94,1.16,1.78
541.00,-2.70,-3.20,0.50,6.50,5.26,1.24,2.84,1.15,1.69
542.00,-2.93,-3.22,0.29,6.39,5.26,1.13,2.92,1.14,1.78
543.00,-3.02,-3.24,0.22,6.45,5.26,1.19,2.76,1.14,1.62
544.00,-2.73,-3.26,0.53,6.27,5.26,1.01,2.82,1.13,1.69
545.00,-2.93,-3.29,0.36,6.31,5.26,1.05,2.81,1.12,1.69
546.00,-3.01,-3.31,0.30,6.46,5.26,1.20,2.86,1.12,1.74
547.00,-2.71,-3.33,0.62,6.47,5.26,1.21,2.82,1.11,1.71
548.00,-3.06,-3.35,0.29,6.26,5.26,0.99,2.83,1.10,1.73
549.00,-3.26,-3.37,0.11,6.31,5.26,1.05,2.91,1.09,1.82
550.00,-3.65,-3.39,-0.25,6.18,5.26,0.92,2.75,1.09,1.66
551.00,-3.41,-3.41,0.01,6.28,5.26,1.01,2.85,1.08,1.77
552.00,-3.34,-3.44,0.10,6.56,5.26,1.30,2.73,1.07,1.66
553.00,-3.48,-3.46,-0.02,6.34,5.27,1.08,2.64,1.07,1.58
554.00,-3.56,-3.48,-0.08,6.26,5.27,0.99,2.51,1.06,1.45
555.00,-3.66,-3.50,-0.16,6.39,5.27,1.13,2.57,1.05,1.52
556.00,-3.76,-3.52,-0.24,6.54,5.27,1.27,2.57,1.04,1.53
557.00,-4.17,-3.54,-0.63,6.33,5.27,1.07,2.50,1.04,1.47
558.00,-3.63,-3.57,-0.07,6.38,5.27,1.11,2.32,1.03,1.29
559.00,-3.66,-3.59,-0.08,6.38,5.27,1.11,2.41,1.02,1.39
560.00,-3.72,-3.61,-0.11,6.26,5.27,0.99,2.25,1.02,1.24
561.00,-3.83,-3.63,-0.20,6.26,5.27,0.99,2.35,1.01,1.34
562.00,-3.90,-3.65,-0.25,5.89,5.27,0.62,2.30,1.00,1.30
563.00,-4.18,-3.67,-0.51,5.75,5.27,0.47,2.36,0.99,1.37
564.00,-3.71,-3.70,-0.01,6.04,5.27,0.77,2.36,0.99,1.37
565.00,-3.86,-3.72,-0.15,5.84,5.28,0.56,2.04,0.98,1.06
566.00,-3.84,-3.74,-0.10,5.74,5.28,0.46,2.39,0.97,1.42
567.00,-3.85,-3.76,-0.09,5.81,5.28,0.54,2.04,0.97,1.08
568.00,-4.04,-3.78,-0.26,5.93,5.28,0.66,2.23,0.96,1.27
569.00,-4.09,-3.80,-0.29,5.96,5.28,0.68,2.07,0.95,1.11
570.00,-4.11,-3.83,-0.29,6.09,5.28,0.81,2.16,0.94,1.22
571.00,-4.00,-3.85,-0.16,5.95,5.28,0.67,2.16,0.94,1.23
572.00,-3.83,-3.87,0.04,5.82,5.28,0.53,2.13,0.93,1.20
573.00,-3.99,-3.89,-0.10,5.78,5.28,0.50,2.01,0.92,1.09
574.00,-4.22,-3.91,-0.31,5.96,5.28,0.67,2.20,0.92,1.29
575.00,-4.07,-3.93,-0.14,5.89,5.28,0.60,2.19,0.91,1.28
576.00,-4.18,-3.96,-0.23,5.73,5.28,0.45,1.96,0.90,1.06
577.00,-4.04,-3.98,-0.06,5.53,5.28,0.25,2.10,0.89,1.21
578.00,-4.40,-4.00,-0.40,5.66,5.29,0.38,1.85,0.89,0.96
579.00,-4.23,-4.02,-0.21,5.54,5.29,0.25,1.79,0.88,0.91
580.00,-4.41,-4.04,-0.37,5.50,5.29,0.22,2.12,0.87,1.25
581.00,-4.56,-4.06,-0.50,5.49,5.29,0.21,1.82,0.87,0.95
582.00,-4.85,-4.09,-0.76,5.52,5.29,0.23,1.70,0.86,0.84
583.00,-4.60,-4.11,-0.50,5.57,5.29,0.28,1.65,0.85,0.80
584.00,-4.56,-4.13,-0.44,5.58,5.29,0.29,0.97,0.84,0.12
585.00,-4.83,-4.15,-0.68,5.71,5.29,0.41,1.00,0.84,0.16
586.00,-4.73,-4.17,-0.56,5.70,5.29,0.41,1.60,0.83,0.77
587.00,-4.93,-4.19,-0.73,5.70,5.29,0.40,1.81,0.82,0.99
588.00,-4.68,-4.21,-0.46,5.71,5.29,0.42,1.77,0.82,0.96
589.00,-4.73,-4.24,-0.49,5.51,5.29,0.22,1.65,0.81,0.84
590.00,-4.62,-4.26,-0.37,5.72,5.29,0.43,1.83,0.80,1.03
591.00,-4.52,-4.28,-0.24,5.61,5.30,0.31,1.72,0.79,0.93
592.00,-4.59,-4.30,-0.29,5.55,5.30,0.26,1.71,0.79,0.92
593.00,-4.81,-4.32,-0.49,5.61,5.30,0.31,1.70,0.78,0.92
594.00,-5.01,-4.34,-0.67,5.49,5.30,0.19,1.44,0.77,0.67
595.00,-4.97,-4.37,-0.61,5.41,5.30,0.11,1.51,0.77,0.74
596.00,-4.92,-4.39,-0.53,5.75,5.30,0.45,1.57,0.76,0.81
597.00,-4.77,-4.41,-0.37,5.94,5.30,0.64,1.72,0.75,0.97
598.00,-4.82,-4.43,-0.39,5.59,5.30,0.29,1.64,0.74,0.90
599.00,-5.01,-4.45,-0.56,5.89,5.30,0.59,1.59,0.74,0.85
600.00,-4.98,-4.47,-0.50,5.81,5.30,0.50,1.47,0.73,0.74
601.00,-4.92,-4.50,-0.43,5.64,5.30,0.33,1.59,0.72,0.87
602.00,-4.89,-4.52,-0.37,5.91,5.30,0.61,1.47,0.72,0.76
603.00,-5.20,-4.54,-0.67,5.67,5.31,0.37,1.46,0.71,0.75
604.00,-4.99,-4.56,-0.43,5.70,5.31,0.40,1.42,0.70,0.72
605.00,-5.17,-4.58,-0.59,5.64,5.31,0.33,1.48,0.69,0.79
606.00,-4.98,-4.60,-0.38,5.73,5.31,0.43,1.43,0.69,0.74
607.00,-5.03,-4.63,-0.40,5.76,5.31,0.45,1.45,0.68,0.77
608.00,-5.01,-4.65,-0.37,5.48,5.31,0.17,1.62,0.67,0.95
609.00,-4.83,-4.67,-0.16,5.48,5.31,0.17,1.42,0.67,0.75
610.00,-4.92,-4.69,-0.23,5.12,5.31,-0.19,1.46,0.66,0.80
611.00,-4.71,-4.71,0.00,5.31,5.31,0.00,1.49,0.65,0.84
612.00,-5.07,-4.73,-0.34,5.11,5.31,-0.20,1.23,0.64,0.59
613.00,-5.05,-4.76,-0.30,5.30,5.31,-0.01,1.32,0.64,0.68
614.00,-4.94,-4.78,-0.16,5.27,5.31,-0.05,1.24,0.63,0.61
615.00,-4.46,-4.80,0.34,5.15,5.31,-0.16,1.36,0.62,0.74
616.00,-4.77,-4.82,0.05,5.35,5.32,0.03,1.31,0.62,0.69
617.00,-5.01,-4.84,-0.17,5.32,5.32,-0.00,1.12,0.61,0.51
618.00,-5.16,-4.86,-0.30,5.21,5.32,-0.11,1.11,0.60,0.51
619.00,-5.31,-4.88,-0.42,5.12,5.32,-0.20,0.97,0.59,0.38
620.00,-5.39,-4.91,-0.48,5.16,5.32,-0.15,0.72,0.59,0.13
621.00,-5.67,-4.93,-0.74,5.20,5.32,-0.11,0.83,0.58,0.25
622.00,-5.35,-4.95,-0.40,5.07,5.32,-0.25,0.79,0.57,0.21
623.00,-5.58,-4.97,-0.61,5.05,5.32,-0.27,0.86,0.57,0.29
624.00,-5.53,-4.99,-0.54,5.02,5.32,-0.30,0.98,0.56,0.42
625.00,-5.46,-5.01,-0.44,4.98,5.32,-0.34,1.12,0.55,0.56
626.00,-5.43,-5.04,-0.40,5.06,5.32,-0.26,1.01,0.54,0.47
627.00,-5.48,-5.06,-0.42,5.21,5.32,-0.11,0.94,0.54,0.40
628.00,-5.21,-5.08,-0.13,5.07,5.32,-0.26,1.11,0.53,0.58
629.00,-5.58,-5.10,-0.48,4.99,5.33,-0.34,0.89,0.52,0.36
630.00,-5.30,-5.12,-0.17,4.99,5.33,-0.34,1.06,0.52,0.54
631.00,-5.46,-5.14,-0.31,5.03,5.33,-0.30,0.93,0.51,0.42
632.00,-5.39,-5.17,-0.22,4.88,5.33,-0.44,0.99,0.50,0.49
633.00,-5.50,-5.19,-0.31,5.17,5.33,-0.16,0.94,0.49,0.45
634.00,-5.61,-5.21,-0.40,4.93,5.33,-0.40,0.90,0.49,0.41
635.00,-5.49,-5.23,-0.26,5.12,5.33,-0.21,0.81,0.48,0.33
636.00,-5.67,-5.25,-0.42,5.40,5.33,0.07,0.99,0.47,0.52
637.00,-5.67,-5.27,-0.39,5.10,5.33,-0.23,0.98,0.47,0.52
638.00,-5.78,-5.30,-0.48,5.11,5.33,-0.23,0.92,0.46,0.46
639.00,-5.75,-5.32,-0.43,5.31,5.33,-0.03,0.82,0.45,0.37
640.00,-5.77,-5.34,-0.43,5.09,5.33,-0.25,0.93,0.44,0.49
641.00,-5.72,-5.36,-0.36,5.07,5.34,-0.27,0.89,0.44,0.46
642.00,-5.83,-5.38,-0.45,5.17,5.34,-0.16,0.79,0.43,0.36
643.00,-6.00,-5.40,-0.60,5.06,5.34,-0.28,0.79,0.42,0.37
644.00,-5.85,-5.43,-0.43,5.13,5.34,-0.20,0.82,0.42,0.40
645.00,-6.08,-5.45,-0.64,4.95,5.34,-0.39,0.92,0.41,0.51
646.00,-5.82,-5.47,-0.35,5.33,5.34,-0.01,0.61,0.40,0.21
647.00,-5.88,-5.49,-0.39,5.27,5.34,-0.07,0.74,0.39,0.35
648.00,-6.01,-5.51,-0.50,5.17,5.34,-0.17,0.72,0.39,0.34
649.00,-5.93,-5.53,-0.39,5.37,5.34,0.02,0.51,0.38,0.13
650.00,-5.78,-5.56,-0.23,5.16,5.34,-0.18,0.81,0.37,0.44
651.00,-5.63,-5.58,-0.05,5.40,5.34,0.05,0.74,0.37,0.37
652.00,-5.99,-5.60,-0.39,5.34,5.34,-0.01,0.67,0.36,0.31
653.00,-5.98,-5.62,-0.36,5.22,5.34,-0.12,0.65,0.35,0.30
654.00,-5.75,-5.64,-0.11,5.08,5.35,-0.26,0.81,0.34,0.47
655.00,-5.86,-5.66,-0.20,5.28,5.35,-0.07,0.64,0.34,0.30
656.00,-6.14,-5.68,-0.45,5.15,5.35,-0.20,0.72,0.33,0.39
657.00,-6.29,-5.71,-0.59,5.14,5.35,-0.21,0.78,0.32,0.46
658.00,-5.82,-5.73,-0.10,5.19,5.35,-0.15,0.59,0.32,0.27
659.00,-6.14,-5.75,-0.39,5.34,5.35,-0.01,0.87,0.31,0.56
660.00,-6.29,-5.77,-0.52,5.24,5.35,-0.11,0.84,0.30,0.54
661.00,-6.00,-5.79,-0.20,5.17,5.35,-0.18,0.72,0.29,0.43
662.00,-6.27,-5.81,-0.46,5.29,5.35,-0.07,0.71,0.29,0.43
663.00,-6.23,-5.84,-0.40,5.36,5.35,0.01,0.72,0.28,0.44
664.00,-6.07,-5.86,-0.21,5.19,5.35,-0.16,0.93,0.27,0.66
665.00,-6.30,-5.88,-0.42,5.55,5.35,0.19,0.68,0.27,0.42
666.00,-6.33,-5.90,-0.43,5.12,5.35,-0.24,0.70,0.26,0.44
667.00,-6.35,-5.92,-0.42,5.15,5.36,-0.20,0.61,0.25,0.36
668.00,-6.25,-5.94,-0.31,5.10,5.36,-0.26,0.55,0.24,0.31
669.00,-6.15,-5.97,-0.18,5.47,5.36,0.11,0.42,0.24,0.19
670.00,-6.16,-5.99,-0.17,5.61,5.36,0.26,0.43,0.23,0.20
671.00,-6.28,-6.01,-0.27,5.44,5.36,0.08,0.46,0.22,0.24
672.00,-6.20,-6.03,-0.16,5.45,5.36,0.09,0.39,0.22,0.17
673.00,-6.02,-6.05,0.03,5.38,5.36,0.02,0.13,0.21,-0.07
674.00,-6.16,-6.07,-0.09,5.40,5.36,0.04,0.56,0.20,0.36
675.00,-6.02,-6.10,0.07,5.30,5.36,-0.07,0.57,0.19,0.38
676.00,-6.29,-6.12,-0.18,5.08,5.36,-0.28,0.50,0.19,0.31
677.00,-5.87,-6.14,0.27,5.35,5.36,-0.01,0.28,0.18,0.10
678.00,-5.89,-6.16,0.27,5.41,5.36,0.04,0.30,0.17,0.13
679.00,-6.22,-6.18,-0.04,5.24,5.37,-0.12,0.33,0.17,0.16
680.00,-5.90,-6.20,0.31,5.26,5.37,-0.11,0.28,0.16,0.12
681.00,-5.98,-6.23,0.25,4.79,5.37,-0.58,0.35,0.15,0.20
682.00,-6.16,-6.25,0.08,5.02,5.37,-0.34,0.23,0.14,0.09
683.00,-5.96,-6.27,0.31,5.27,5.37,-0.10,0.08,0.14,-0.06
684.00,-5.98,-6.29,0.31,5.23,5.37,-0.14,0.14,0.13,0.01
685.00,-6.49,-6.31,-0.18,5.09,5.37,-0.28,0.20,0.12,0.08
686.00,-6.36,-6.33,-0.03,5.21,5.37,-0.16,0.20,0.12,0.08
687.00,-6.13,-6.36,0.22,5.09,5.37,-0.28,0.11,0.11,0.00
688.00,-6.25,-6.38,0.13,5.02,5.37,-0.35,0.26,0.10,0.16
689.00,-6.44,-6.40,-0.04,5.37,5.37,0.00,0.07,0.09,-0.02
690.00,-6.43,-6.42,-0.01,5.34,5.37,-0.04,0.04,0.09,-0.04
691.00,-5.90,-6.44,0.54,5.34,5.37,-0.03,0.01,0.08,-0.06
692.00,-6.38,-6.46,0.09,5.37,5.38,-0.01,0.15,0.07,0.08
693.00,-6.34,-6.48,0.15,5.26,5.38,-0.12,0.23,0.07,0.17
694.00,-6.45,-6.51,0.06,5.44,5.38,0.06,0.11,0.06,0.05
695.00,-6.25,-6.53,0.28,5.45,5.38,0.07,0.18,0.05,0.13
696.00,-6.51,-6.55,0.04,5.52,5.38,0.14,0.04,0.04,-0.01
697.00,-6.81,-6.57,-0.24,5.48,5.38,0.10,0.16,0.04,0.12
698.00,-6.57,-6.59,0.02,5.56,5.38,0.18,0.43,0.03,0.40
699.00,-6.63,-6.61,-0.02,5.50,5.38,0.12,0.19,0.02,0.17
700.00,-6.64,-6.64,0.00,5.38,5.38,0.00,0.01,0.01,-0.00
